ncols 	 40 
nrows 	 40 
xllcorner 	 0.00 
yllcorner 	 0.00 
cellsize 	 5.0 
NODATA_value 	 -9999 
140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	140.93	
138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	138.60	
136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	136.27	
133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	133.94	
131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	131.60	
129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	129.27	
126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	126.94	
124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	124.61	
122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	122.28	
119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	119.95	
